,Title,Year,Box Office,Rotten Tomatoes,Franchise
0,Superman,1978,134478449,88,DC
1,Superman II,1980,108185706,88,DC
2,Superman III,1983,59950623,31,DC
3,Superman IV: The Quest for Peace,1987,15681020,15,DC
4,Batman,1989,251409241,77,DC
5,Batman Returns,1992,162924631,82,DC
6,Batman Forever,1995,184069126,41,DC
7,Batman & Robin,1997,107353792,11,DC
8,Catwoman,2004,40202379,8,DC
9,Constantine,2005,75976178,46,DC
10,Batman Begins,2005,206863479,85,DC
11,Superman Returns,2006,200081192,72,DC
12,The Dark Knight,2008,534987076,94,DC
13,Watchmen,2009,107509799,64,DC
14,Green Lantern,2011,116601172,26,DC
15,The Dark Knight Rises,2012,448149584,87,DC
16,Man of Steel,2013,291045518,57,DC
17,Batman v Superman: Dawn of Justice,2016,330360194,28,DC
18,Suicide Squad,2016,325100054,26,DC
19,Wonder Woman,2017,412845172,93,DC
20,Justice League,2017,229024295,39,DC
21,Aquaman,2018,335104314,66,DC
22,Shazam!,2019,140480049,90,DC
23,Joker,2019,335477657,68,DC
24,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,2020,84172791,79,DC
25,Wonder Woman 1984,2020,46801036,57,DC
26,The Suicide Squad,2021,55817425,90,DC
27,The Batman,2022,369345583,85,DC
28,Black Adam,2022,168152111,39,DC
29,Shazam! Fury of the Gods,2023,57638006,49,DC
30,The Flash,2023,108133313,63,DC
31,Blue Beetle,2023,72488072,78,DC
32,Aquaman and the Lost Kingdom,2023,124481226,33,DC
33,Joker: Folie à Deux,2024,58300287,31,DC
34,Superman,2025,353980047,83,DC
0,Iron Man,2008,319034126,94,Marvel
1,The Incredible Hulk,2008,134806913,68,Marvel
2,Iron Man 2,2010,312433331,72,Marvel
3,Thor,2011,181030624,77,Marvel
4,Captain America: The First Avenger,2011,176654505,80,Marvel
5,The Avengers,2012,623357910,91,Marvel
6,Iron Man 3,2013,409013994,79,Marvel
7,Thor: The Dark World,2013,206362140,67,Marvel
8,Captain America: The Winter Soldier,2014,259766572,90,Marvel
9,Guardians of the Galaxy,2014,333718600,92,Marvel
10,Avengers: Age of Ultron,2015,459005868,75,Marvel
11,Ant-Man,2015,180202163,83,Marvel
12,Captain America: Civil War,2016,408084349,90,Marvel
13,Doctor Strange,2016,232641920,89,Marvel
14,Guardians of the Galaxy Vol. 2,2017,389813101,85,Marvel
15,Spider-Man: Homecoming,2017,334952829,92,Marvel
16,Thor: Ragnarok,2017,315058289,93,Marvel
17,Black Panther,2018,700426566,96,Marvel
18,Avengers: Infinity War,2018,678815482,85,Marvel
19,Ant-Man and the Wasp,2018,216648740,87,Marvel
20,Captain Marvel,2019,426829839,79,Marvel
21,Avengers: Endgame,2019,858373000,94,Marvel
22,Spider-Man: Far from Home,2019,391283774,91,Marvel
23,Black Widow,2021,183651655,79,Marvel
24,Shang-Chi and the Legend of the Ten Rings,2021,224543292,92,Marvel
25,Eternals,2021,164870234,47,Marvel
26,Spider-Man: No Way Home,2021,814866759,93,Marvel
27,Doctor Strange in the Multiverse of Madness,2022,411331607,73,Marvel
28,Thor: Love and Thunder,2022,343256830,63,Marvel
29,Black Panther: Wakanda Forever,2022,453829060,84,Marvel
30,Ant-Man and the Wasp: Quantumania,2023,214504909,46,Marvel
31,Guardians of the Galaxy Vol. 3,2023,358995815,82,Marvel
32,The Marvels,2023,84500223,63,Marvel
33,Deadpool & Wolverine,2024,636745858,78,Marvel
34,Captain America: Brave New World,2025,200500001,46,Marvel
35,Thunderbolts*,2025,190274328,88,Marvel
36,The Fantastic Four: First Steps,2025,272903891,86,Marvel
